run_id,cfg_fingerprint,dataset_tag,protocol,seed,split_seed,model_seed,seed_semantics,svd_dim,max_train,max_test,n_features,data_hash_id_short,data_hash_train_short,data_hash_test_short,model_family,model,scale,attack_suite,attack,attack_is_clean,attack_family,attack_family_decl,attack_priority_group,attack_priority_group_decl,attack_strength,attack_strength_nominal,attack_strength_nominal_decl,attack_strength_eff,attack_seed,clean_ref_run_id,clean_ref_attack_seed,bal_acc_clean,f1_pos_clean,roc_auc_clean,pos_rate_eval_clean,pred_error_rate_clean,label_pos_rate_clean,pred_pos_rate_clean,bal_acc,f1_pos,roc_auc,pos_rate_eval,pred_error_rate,label_pos_rate_eval,pred_pos_rate_eval,bal_acc_drop,f1_pos_drop,roc_auc_drop,pred_error_rate_drop,pos_rate_eval_drop,label_pos_rate_eval_drop,pred_pos_rate_eval_drop,impact_bal_acc,impact_f1,impact_roc_auc,impact_pred_error,integrity_jsd_clean,integrity_jsd,integrity_jsd_delta,integrity_mmd_clean,integrity_mmd,integrity_mmd_delta,integrity_ks_mean_clean,integrity_ks_mean,integrity_ks_mean_delta,integrity_ks_reject05_clean,integrity_ks_reject05,integrity_ks_reject05_delta,integrity_ks_n_clean,integrity_ks_n,integrity_score_jsd_clean,integrity_score_jsd,integrity_score_jsd_delta,integrity_jsd_vs_clean_eval,integrity_mmd_vs_clean_eval,integrity_ks_mean_vs_clean_eval,integrity_ks_reject05_vs_clean_eval,integrity_ks_n_vs_clean_eval,integrity_score_jsd_vs_clean_eval,label_flip_rate,integrity_label_prior_shift,integrity_label_jsd,integrity_pred_pos_rate_shift,integrity_pred_disagreement,integrity_pred_jsd,integrity_confusion_profile_l1_clean,integrity_confusion_profile_l1,integrity_confusion_profile_l1_delta,integrity_confusion_profile_jsd_clean,integrity_confusion_profile_jsd,integrity_confusion_profile_jsd_delta,train_time_s,attack_prep_time_s,predict_time_s,scores_time_s,signals_time_s,ref_scores_time_s,ref_predict_time_s,atk_family,atk_strength,atk_r,atk_n_flipped,atk_flip_frac,atk_priority_group,atk_strength_nominal,atk_strength_eff,atk_n_samples,atk_n_pos,atk_n_neg,atk_n_flip_1_to_0,atk_n_flip_0_to_1,atk_n_flipped_total,atk_prior_before,atk_prior_after,atk_prior_abs_delta,atk_limited_by_class_balance,atk_p,atk_alpha,atk_delta,atk_per_feature,atk_dvec_mean,atk_dvec_std,atk_strategy,atk_drop_frac,atk_n_dropped,gate
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,clean,1,clean,clean,clean,clean,0.0,0.0,0.0,0.0,1173101632,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483212501031086,0.0483212501031086,0.0,0.0931885822691148,0.0931885822691148,0.0,0.1708984375,0.1708984375,0.0,0.625,0.625,0.0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1797945499420166,0.0,0.0,0.0,0.0080411434173583,0.1805508136749267,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__feature_dropout_p_0.020__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,feature_dropout_p_0.020,0,pipeline,pipeline,core,core,0.02,0.02,0.02,0.02,1262480094,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.7109375,0.7131782945736435,0.7578125,0.5,0.2890625,0.5,0.5078125,-0.015625,-0.0112311542452542,-0.005615234375,0.015625,0.0,0.0,0.015625,0.015625,0.0112311542452542,0.005615234375,0.015625,0.0483212501031086,0.0493038333595862,0.0009825832564775,0.0931885822691148,0.1073411430648959,0.0141525607957811,0.1708984375,0.1728515625,0.001953125,0.625,0.625,0.0,8,8,0.0,0.0175639855286603,0.0175639855286603,0.0009950966275161,0.0,0.01171875,0.0,8,0.0175639855286603,,0.0,0.0,0.015625,0.015625,0.0001220752800388,0.0,0.03125,0.03125,0.0,0.0003020508277207,0.0003020508277207,0.1797945499420166,0.0,0.1731436252593994,0.0,0.0070095062255859,0.1805508136749267,0.0,pipeline,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,median,0.0166015625,17.0,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__feature_dropout_p_0.050__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,feature_dropout_p_0.050,0,pipeline,pipeline,core,core,0.05,0.05,0.05,0.05,3945654410,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.71875,0.71875,0.775634765625,0.5,0.28125,0.5,0.5,-0.0078125,-0.0056594488188976,0.01220703125,0.0078125,0.0,0.0,0.0078125,0.0078125,0.0056594488188976,0.0,0.0078125,0.0483212501031086,0.0491455921083697,0.000824342005261,0.0931885822691148,0.0948476626450322,0.0016590803759174,0.1708984375,0.1884765625,0.017578125,0.625,0.625,0.0,8,8,0.0,0.016395337615609,0.016395337615609,0.0011233892453185,0.0,0.0419921875,0.0,8,0.016395337615609,,0.0,0.0,0.0078125,0.0234375,3.051975144599192e-05,0.0,0.015625,0.015625,0.0,7.681291503311796e-05,7.681291503311796e-05,0.1797945499420166,0.0,0.1812613010406494,0.0,0.0069990158081054,0.1805508136749267,0.0,pipeline,0.05,,,,,,,,,,,,,,,,,0.05,,,,,,median,0.0625,64.0,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__feature_dropout_p_0.100__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,feature_dropout_p_0.100,0,pipeline,pipeline,core,core,0.1,0.1,0.1,0.1,2528997006,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.7109375,0.7086614173228346,0.74365234375,0.5,0.2890625,0.5,0.4921875,-0.015625,-0.015748031496063,-0.019775390625,0.015625,0.0,0.0,0.0,0.015625,0.015748031496063,0.019775390625,0.015625,0.0483212501031086,0.053549427271254,0.0052281771681453,0.0931885822691148,0.1298402819550086,0.0366516996858938,0.1708984375,0.203125,0.0322265625,0.625,0.75,0.125,8,8,0.0,0.0521785395548244,0.0521785395548244,0.007414690406263,0.0,0.0634765625,0.0,8,0.0521785395548244,,0.0,0.0,0.0,0.015625,0.0,0.0,0.03125,0.03125,0.0,0.0001510698496402,0.0001510698496402,0.1797945499420166,0.0009989738464355,0.180591344833374,0.0010006427764892,0.0060052871704101,0.1805508136749267,0.0,pipeline,0.1,,,,,,,,,,,,,,,,,0.1,,,,,,median,0.111328125,114.0,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__feature_sign_flip_p_0.020__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,feature_sign_flip_p_0.020,0,corruption,corruption,core,core,0.02,0.02,0.02,0.02,3217804414,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.734375,0.7258064516129032,0.7646484375,0.5,0.265625,0.5,0.46875,0.0078125,0.0013970027940055,0.001220703125,-0.0078125,0.0,0.0,-0.0234375,0.0,0.0,0.0,0.0,0.0483212501031086,0.0479213074262844,-0.0003999426768242,0.0931885822691148,0.080378077105545,-0.0128105051635697,0.1708984375,0.1650390625,-0.005859375,0.625,0.5,-0.125,8,8,0.0,0.0296553755877287,0.0296553755877287,0.0016970443493283,0.0,0.0224609375,0.0,8,0.0296553755877287,,0.0,0.0,0.0234375,0.0703125,0.0002751033212096,0.0,0.046875,0.046875,0.0,0.0003999428504343,0.0003999428504343,0.1797945499420166,0.0,0.1851551532745361,0.0005328655242919,0.0063707828521728,0.1805508136749267,0.0,corruption,0.02,,23.0,0.0224609375,,,,,,,,,,,,,,0.02,,,,,,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__feature_sign_flip_p_0.050__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,feature_sign_flip_p_0.050,0,corruption,corruption,core,core,0.05,0.05,0.05,0.05,1282715228,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.6640625,0.6324786324786325,0.697265625,0.5,0.3359375,0.5,0.4140625,-0.0625,-0.0919308163402652,-0.066162109375,0.0625,0.0,0.0,-0.078125,0.0625,0.0919308163402652,0.066162109375,0.0625,0.0483212501031086,0.0480614038223935,-0.0002598462807151,0.0931885822691148,0.0911418250763599,-0.0020467571927548,0.1708984375,0.1572265625,-0.013671875,0.625,0.375,-0.25,8,8,0.0,0.0300355447213472,0.0300355447213472,0.0023389044167158,0.1262203506156843,0.0615234375,0.0,8,0.0300355447213472,,0.0,0.0,0.078125,0.078125,0.0030820981604445,0.0,0.15625,0.15625,0.0,0.0055290146306444,0.0055290146306444,0.1797945499420166,0.0,0.1832392215728759,0.0,0.0070056915283203,0.1805508136749267,0.0,corruption,0.05,,63.0,0.0615234375,,,,,,,,,,,,,,0.05,,,,,,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__feature_sign_flip_p_0.100__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,feature_sign_flip_p_0.100,0,corruption,corruption,core,core,0.1,0.1,0.1,0.1,1937480676,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.640625,0.5740740740740741,0.663818359375,0.5,0.359375,0.5,0.34375,-0.0859375,-0.1503353747448236,-0.099609375,0.0859375,0.0,0.0,-0.1484375,0.0859375,0.1503353747448236,0.099609375,0.0859375,0.0483212501031086,0.0505388485188952,0.0022175984157866,0.0931885822691148,0.1401555091668419,0.046966926897727,0.1708984375,0.1533203125,-0.017578125,0.625,0.25,-0.375,8,8,0.0,0.0757272332366113,0.0757272332366113,0.0061683817439025,0.1737774168417837,0.11328125,0.0,8,0.0757272332366113,,0.0,0.0,0.1484375,0.1640625,0.0113695650436461,0.0,0.296875,0.296875,0.0,0.0158530504118076,0.0158530504118076,0.1797945499420166,0.0,0.1843876838684082,0.0,0.0069990158081054,0.1805508136749267,0.0,corruption,0.1,,116.0,0.11328125,,,,,,,,,,,,,,0.1,,,,,,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__label_flip_prior_preserving_r_0.020__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,label_flip_prior_preserving_r_0.020,0,target_shift,target_shift,core,core,0.02,0.02,0.02,0.015625,1525892730,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.7265625,0.7244094488188977,0.76123046875,0.5,0.2734375,0.5,0.4921875,0.0,0.0,-0.002197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.002197265625,0.0,0.0483212501031086,0.0483212501031086,0.0,0.0931885822691148,0.0931885822691148,0.0,0.1708984375,0.1708984375,0.0,0.625,0.625,0.0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1797945499420166,0.0,0.001000165939331,0.0,0.0057215690612792,0.1805508136749267,0.0,target_shift,,0.02,,,core,0.02,0.015625,128.0,64.0,64.0,1.0,1.0,2.0,0.5,0.5,0.0,0.0,,,,,,,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__label_flip_prior_preserving_r_0.050__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,label_flip_prior_preserving_r_0.050,0,target_shift,target_shift,core,core,0.05,0.05,0.05,0.046875,2477023297,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483212501031086,0.0483212501031086,0.0,0.0931885822691148,0.0931885822691148,0.0,0.1708984375,0.1708984375,0.0,0.625,0.625,0.0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1797945499420166,0.0,0.0,0.0,0.0079927444458007,0.1805508136749267,0.0,target_shift,,0.05,,,core,0.05,0.046875,128.0,64.0,64.0,3.0,3.0,6.0,0.5,0.5,0.0,0.0,,,,,,,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__label_flip_prior_preserving_r_0.100__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,label_flip_prior_preserving_r_0.100,0,target_shift,target_shift,core,core,0.1,0.1,0.1,0.09375,45630966,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.6796875,0.6771653543307087,0.69970703125,0.5,0.3203125,0.5,0.4921875,-0.046875,-0.047244094488189,-0.063720703125,0.046875,0.0,0.0,0.0,0.046875,0.047244094488189,0.063720703125,0.046875,0.0483212501031086,0.0483212501031086,0.0,0.0931885822691148,0.0931885822691148,0.0,0.1708984375,0.1708984375,0.0,0.625,0.625,0.0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.09375,0.0,0.0013175187410774,0.0013175187410774,0.1797945499420166,0.0,0.0005247592926025,0.0,0.0059370994567871,0.1805508136749267,0.0,target_shift,,0.1,,,core,0.1,0.09375,128.0,64.0,64.0,6.0,6.0,12.0,0.5,0.5,0.0,0.0,,,,,,,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__label_flip_r_0.020__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,label_flip_r_0.020,0,target_shift,target_shift,core,core,0.02,0.02,0.02,0.02,2263040412,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.7265395894428153,0.72,0.7573313782991202,0.484375,0.2734375,0.484375,0.4921875,-2.2910557184729896e-05,-0.0044094488188977,-0.0060963560758797,0.0,-0.015625,-0.015625,0.0,2.2910557184729896e-05,0.0044094488188977,0.0060963560758797,0.0,0.0483212501031086,0.0483212501031086,0.0,0.0931885822691148,0.0931885822691148,0.0,0.1708984375,0.1708984375,0.0,0.625,0.625,0.0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.03125,0.015625,0.0001221050969211,0.0,0.0,0.0,0.0,0.03125,0.03125,0.0,0.0001536452667572,0.0001536452667572,0.1797945499420166,0.0,0.0,0.0,0.0069952011108398,0.1805508136749267,0.0,target_shift,0.02,0.02,4.0,0.03125,,,,,,,,,,,,,,,,,,,,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__label_flip_r_0.050__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,label_flip_r_0.050,0,target_shift,target_shift,core,core,0.05,0.05,0.05,0.05,3165106299,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.6640625,0.6614173228346457,0.703857421875,0.5,0.3359375,0.5,0.4921875,-0.0625,-0.0629921259842519,-0.0595703125,0.0625,0.0,0.0,0.0,0.0625,0.0629921259842519,0.0595703125,0.0625,0.0483212501031086,0.0483212501031086,0.0,0.0931885822691148,0.0931885822691148,0.0,0.1708984375,0.1708984375,0.0,0.625,0.625,0.0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.078125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0023090238442856,0.0023090238442856,0.1797945499420166,0.0,0.0,0.0010066032409667,0.0125105381011962,0.1805508136749267,0.0,target_shift,0.05,0.05,10.0,0.078125,,,,,,,,,,,,,,,,,,,,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__label_flip_r_0.100__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,label_flip_r_0.100,0,target_shift,target_shift,core,core,0.1,0.1,0.1,0.1,1068150907,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.7345543345543346,0.734375,0.7794871794871796,0.5078125,0.265625,0.5078125,0.4921875,0.0079918345543346,0.0099655511811023,0.0160594451121796,-0.0078125,0.0078125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0483212501031086,0.0483212501031086,0.0,0.0931885822691148,0.0931885822691148,0.0,0.1708984375,0.1708984375,0.0,0.625,0.625,0.0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0703125,0.0078125,3.051975144599192e-05,0.0,0.0,0.0,0.0,0.015625,0.015625,0.0,8.019641628810906e-05,8.019641628810906e-05,0.1797945499420166,0.0,0.0,0.0009958744049072,0.005519151687622,0.1805508136749267,0.0,target_shift,0.1,0.1,9.0,0.0703125,,,,,,,,,,,,,,,,,,,,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__mean_shift_pf_delta_0.020__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,mean_shift_pf_delta_0.020,0,covariate_shift,covariate_shift,core,core,0.02,0.02,0.02,0.0190889423875714,2206338573,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.7265625,0.72,0.763671875,0.5,0.2734375,0.5,0.4765625,0.0,-0.0044094488188977,0.000244140625,0.0,0.0,0.0,-0.015625,0.0,0.0044094488188977,0.0,0.0,0.0483212501031086,0.0891683714717251,0.0408471213686165,0.0931885822691148,0.0966994497196315,0.0035108674505167,0.1708984375,0.4091796875,0.23828125,0.625,0.875,0.25,8,8,0.0,0.1047624967304395,0.1047624967304395,0.0669002168360994,0.0,0.453125,0.875,8,0.1047624967304395,,0.0,0.0,0.015625,0.015625,0.0001221946350396,0.0,0.03125,0.03125,0.0,0.0001540111923081,0.0001540111923081,0.1797945499420166,0.0,0.1869866847991943,0.0,0.0067055225372314,0.1805508136749267,0.0,covariate_shift,0.0190889423875714,,,,,0.02,0.0190889423875714,,,,,,,,,,,,,0.02,1.0,-0.0081900767577851,0.0172426901664911,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__mean_shift_pf_delta_0.050__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,mean_shift_pf_delta_0.050,0,covariate_shift,covariate_shift,core,core,0.05,0.05,0.05,0.0494765471799803,787631047,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.765625,0.7272727272727273,0.77783203125,0.5,0.234375,0.5,0.359375,0.0390625,0.0028632784538296,0.014404296875,-0.0390625,0.0,0.0,-0.1328125,0.0,0.0,0.0,0.0,0.0483212501031086,0.2015078504720691,0.1531866003689605,0.0931885822691148,0.105547425686317,0.0123588434172022,0.1708984375,0.552734375,0.3818359375,0.625,1.0,0.375,8,8,0.0,0.1974128330760756,0.1974128330760756,0.2276234950158912,0.0,0.5615234375,1.0,8,0.1974128330760756,,0.0,0.0,0.1328125,0.1484375,0.0090480922810358,0.0,0.265625,0.265625,0.0,0.0154607991197618,0.0154607991197618,0.1797945499420166,0.0,0.185988187789917,0.0,0.0075080394744873,0.1805508136749267,0.0,covariate_shift,0.0494765471799803,,,,,0.05,0.0494765471799803,,,,,,,,,,,,,0.05,1.0,0.0018974862855087,0.0494401483275397,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__mean_shift_pf_delta_0.100__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,mean_shift_pf_delta_0.100,0,covariate_shift,covariate_shift,core,core,0.1,0.1,0.1,0.1236008015476575,4193101543,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.734375,0.6666666666666666,0.7978515625,0.5,0.265625,0.5,0.296875,0.0078125,-0.057742782152231,0.034423828125,-0.0078125,0.0,0.0,-0.1953125,0.0,0.057742782152231,0.0,0.0,0.0483212501031086,0.2316554014336167,0.1833341513305081,0.0931885822691148,0.1024354967308253,0.0092469144617105,0.1708984375,0.5439453125,0.373046875,0.625,1.0,0.375,8,8,0.0,0.2473388251014754,0.2473388251014754,0.2831978379545647,0.0217492627387956,0.59375,1.0,8,0.2473388251014754,,0.0,0.0,0.1953125,0.2109375,0.0201227250199416,0.0,0.390625,0.390625,0.0,0.0294610660969467,0.0294610660969467,0.1797945499420166,0.0,0.1888408660888672,0.0009994506835937,0.0059123039245605,0.1805508136749267,0.0,covariate_shift,0.1236008015476575,,,,,0.1,0.1236008015476575,,,,,,,,,,,,,0.1,1.0,0.0109893087297652,0.1231113042610845,,,,gate5a_id_unsw
protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__scaling_drift_alpha_0.020__cfg0d89be8192,0d89be8192,id6292a46b,id,42000042,42,42,packed,8,128,128,8,6292a46b,,,quantum,qsvc_pauli_xyz_r1,minmax2pi,paper_core,scaling_drift_alpha_0.020,0,covariate_shift,covariate_shift,core,core,0.02,0.02,0.02,0.02,1046231052,protoid__dtagid6292a46b__split42__model42__d8__mt128__me128__quantum__qsvc_pauli_xyz_r1__minmax2pi__clean__cfg0d89be8192,1173101632,0.7265625,0.7244094488188977,0.763427734375,0.5,0.2734375,0.5,0.4921875,0.71875,0.7142857142857143,0.78076171875,0.5,0.28125,0.5,0.484375,-0.0078125,-0.0101237345331833,0.017333984375,0.0078125,0.0,0.0,-0.0078125,0.0078125,0.0101237345331833,0.0,0.0078125,0.0483212501031086,0.0630928344302729,0.0147715843271643,0.0931885822691148,0.0928557921946363,-0.0003327900744784,0.1708984375,0.4130859375,0.2421875,0.625,0.875,0.25,8,8,0.0,0.0699318055503121,0.0699318055503121,0.1128554279325657,0.0,0.3740234375,0.75,8,0.0699318055503121,,0.0,0.0,0.0078125,0.0078125,3.0534662618098224e-05,0.0,0.015625,0.015625,0.0,7.42569346071629e-05,7.42569346071629e-05,0.1797945499420166,0.0,0.1872768402099609,0.0,0.0069177150726318,0.1805508136749267,0.0,covariate_shift,0.02,,,,,,,,,,,,,,,,,,0.02,,,,,,,,gate5a_id_unsw
