gate,svd_dim,model,sensor,sensor_family,n_cal,alpha,order_statistic_rank,threshold,null_median,null_max,rule
gate2_id_256,8,qsvc_zz_r1,integrity_jsd_vs_clean_eval,feature,200,0.05,191,0.0324678477582541,0.026214405745604602,0.0348605465514476,fire if value > threshold
gate2_id_256,8,qsvc_zz_r1,integrity_mmd_vs_clean_eval,feature,200,0.05,191,0.0980080142213633,0.0,0.1226928890940223,fire if value > threshold
gate2_id_256,8,qsvc_zz_r1,integrity_ks_reject05_vs_clean_eval,feature,200,0.05,191,0.375,0.0,0.625,fire if value > threshold
gate2_id_256,8,qsvc_zz_r1,integrity_score_jsd_vs_clean_eval,prediction,200,0.05,191,0.0698339243420495,0.0470679115391415,0.0734324307907141,fire if value > threshold
gate2_id_256,8,qsvc_zz_r1,integrity_pred_pos_rate_shift,prediction,200,0.05,191,0.08984375,0.03125,0.1015625,fire if value > threshold
gate2_id_256,8,qsvc_zz_r1,integrity_pred_jsd,prediction,200,0.05,191,0.0045200654275745,0.0005442505702463,0.0057313673244703,fire if value > threshold
gate2_id_256,8,qsvc_zz_r1,integrity_label_prior_shift,label_marginal,200,0.05,191,0.046875,0.01171875,0.06640625,fire if value > threshold
gate2_id_256,8,qsvc_zz_r1,integrity_label_jsd,label_marginal,200,0.05,191,0.0011014601470781,6.867555470620136e-05,0.0022163281438306,fire if value > threshold
gate2_id_256,8,qsvc_zz_r1,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.1796875,0.09375,0.203125,fire if value > threshold
gate2_id_256,8,qsvc_zz_r1,integrity_confusion_profile_jsd,joint_outcome,200,0.05,191,0.0069156798428898,0.00220915488982325,0.0086928850122855,fire if value > threshold
gate2_id_256,8,qsvc_zz_r1,integrity_confusion_profile_l1_delta,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws
gate2_id_256,8,qsvc_zz_r1,integrity_confusion_profile_jsd_delta,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws
gate2_id_256,8,qsvc_zz_r1,integrity_pred_disagreement,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws
gate2_id_256,8,qsvc_zz_r1,label_flip_rate,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws
gate2_id_256,8,svc_rbf,integrity_jsd_vs_clean_eval,feature,200,0.05,191,0.0324678477582541,0.026214405745604602,0.0348605465514476,fire if value > threshold
gate2_id_256,8,svc_rbf,integrity_mmd_vs_clean_eval,feature,200,0.05,191,0.0743229564411485,0.0,0.1002939447245472,fire if value > threshold
gate2_id_256,8,svc_rbf,integrity_ks_reject05_vs_clean_eval,feature,200,0.05,191,0.375,0.0,0.625,fire if value > threshold
gate2_id_256,8,svc_rbf,integrity_score_jsd_vs_clean_eval,prediction,200,0.05,191,0.0360577944792396,0.029275975758595953,0.0407129459738646,fire if value > threshold
gate2_id_256,8,svc_rbf,integrity_pred_pos_rate_shift,prediction,200,0.05,191,0.09375,0.01953125,0.109375,fire if value > threshold
gate2_id_256,8,svc_rbf,integrity_pred_jsd,prediction,200,0.05,191,0.0055509189843475,0.0002480265631461,0.0074333760295659,fire if value > threshold
gate2_id_256,8,svc_rbf,integrity_label_prior_shift,label_marginal,200,0.05,191,0.046875,0.01171875,0.06640625,fire if value > threshold
gate2_id_256,8,svc_rbf,integrity_label_jsd,label_marginal,200,0.05,191,0.0011014601470781,6.867555470620136e-05,0.0022163281438306,fire if value > threshold
gate2_id_256,8,svc_rbf,integrity_confusion_profile_l1,joint_outcome,200,0.05,191,0.203125,0.0703124999999978,0.2421874999999974,fire if value > threshold
gate2_id_256,8,svc_rbf,integrity_confusion_profile_jsd,joint_outcome,200,0.05,191,0.0105042004488412,0.0019631993759043,0.015096451251069,fire if value > threshold
gate2_id_256,8,svc_rbf,integrity_confusion_profile_l1_delta,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws
gate2_id_256,8,svc_rbf,integrity_confusion_profile_jsd_delta,aggregate_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws
gate2_id_256,8,svc_rbf,integrity_pred_disagreement,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws
gate2_id_256,8,svc_rbf,label_flip_rate,item_aligned_exact,200,0.0,0,0.0,0.0,0.0,exact item-aligned invariance: fire if |value| > 0; undefined on unaligned null draws
gate2_id_256,10,qsvc_zz_r1,integrity_jsd_vs_clean_eval,feature,200,0.05,191,0.0320735656133154,0.0259916030673818,0.0333148421850792,fire if value > threshold
gate2_id_256,10,qsvc_zz_r1,integrity_mmd_vs_clean_eval,feature,200,0.05,191,0.0964832402080003,0.0,0.1223304954912004,fire if value > threshold
gate2_id_256,10,qsvc_zz_r1,integrity_ks_reject05_vs_clean_eval,feature,200,0.05,191,0.3,0.1,0.6,fire if value > threshold
